rank,name,date
5,Shai Gilgeous-Alexander,11-06-2025
6,Austin Reaves,11-06-2025
7,Victor Wembanyama,11-06-2025
8,Donovan Mitchell,11-06-2025
9,Devin Booker,11-06-2025
10,Josh Giddey,11-06-2025
11,Julius Randle,11-06-2025
12,LaMelo Ball,11-06-2025
13,Bennedict Mathurin,11-06-2025
14,Alperen Sengun,11-06-2025
15,Lauri Markkanen,11-06-2025
16,Cade Cunningham,11-06-2025
17,Jalen Brunson,11-06-2025
18,James Harden,11-06-2025
19,Pascal Siakam,11-06-2025
20,Jaylen Brown,11-06-2025
21,Kawhi Leonard,11-06-2025
22,Nikola Vucevic,11-06-2025
23,Stephen Curry,11-06-2025
24,Jalen Johnson,11-06-2025
25,Scottie Barnes,11-06-2025
26,Paolo Banchero,11-06-2025
27,Deni Avdija,11-06-2025
28,Karl-Anthony Towns,11-06-2025
29,Jamal Murray,11-06-2025
30,Anthony Davis,11-06-2025
31,Chet Holmgren,11-06-2025
32,Alex Sarr,11-06-2025
33,Zach LaVine,11-06-2025
34,Keyonte George,11-06-2025
35,Evan Mobley,11-06-2025
36,Kevin Durant,11-06-2025
37,Michael Porter Jr.,11-06-2025
38,Jalen Duren,11-06-2025
39,Brandon Ingram,11-06-2025
40,Zion Williamson,11-06-2025
41,Domantas Sabonis,11-06-2025
42,Norman Powell,11-06-2025
43,Walker Kessler,11-06-2025
44,Miles Bridges,11-06-2025
45,RJ Barrett,11-06-2025
46,Franz Wagner,11-06-2025
47,Jrue Holiday,11-06-2025
48,Stephon Castle,11-06-2025
49,Amen Thompson,11-06-2025
50,Bam Adebayo,11-06-2025
1,Luka Doncic,11-07-2025
2,Nikola Jokic,11-07-2025
3,Giannis Antetokounmpo,11-07-2025
4,Tyrese Maxey,11-07-2025
5,Shai Gilgeous-Alexander,11-07-2025
6,Austin Reaves,11-07-2025
7,Victor Wembanyama,11-07-2025
8,Donovan Mitchell,11-07-2025
9,Josh Giddey,11-07-2025
10,Devin Booker,11-07-2025
11,Julius Randle,11-07-2025
12,LaMelo Ball,11-07-2025
13,Bennedict Mathurin,11-07-2025
14,Alperen Sengun,11-07-2025
15,Lauri Markkanen,11-07-2025
16,Cade Cunningham,11-07-2025
17,Jalen Brunson,11-07-2025
18,James Harden,11-07-2025
19,Pascal Siakam,11-07-2025
20,Jaylen Brown,11-07-2025
21,Kawhi Leonard,11-07-2025
22,Nikola Vucevic,11-07-2025
23,Jalen Green,11-07-2025
24,Stephen Curry,11-07-2025
25,Jalen Johnson,11-07-2025
26,Scottie Barnes,11-07-2025
27,Paolo Banchero,11-07-2025
28,Deni Avdija,11-07-2025
29,Karl-Anthony Towns,11-07-2025
30,Jamal Murray,11-07-2025
31,Anthony Davis,11-07-2025
32,Chet Holmgren,11-07-2025
33,Alex Sarr,11-07-2025
34,Zach LaVine,11-07-2025
35,Keyonte George,11-07-2025
36,Evan Mobley,11-07-2025
37,Kevin Durant,11-07-2025
38,Michael Porter Jr.,11-07-2025
39,Jalen Duren,11-07-2025
40,Brandon Ingram,11-07-2025
41,Zion Williamson,11-07-2025
42,Domantas Sabonis,11-07-2025
43,Norman Powell,11-07-2025
44,Walker Kessler,11-07-2025
45,Miles Bridges,11-07-2025
46,RJ Barrett,11-07-2025
47,Franz Wagner,11-07-2025
